year,White,White_Country,White_Flag,Black,Blacka_Country,Black_Flag,game_order,event,site,round,eco,eco codes.openings.name,Actual openings images.Images,1886-2023 Winners & Runner-ups.Winner,1886-2023 Winners & Runner-ups.winner image,1886-2023 Winners & Runner-ups.Runner-up,1886-2023 Winners & Runner-ups.runner-up image,Opening Images,WInner name,winner image,Runner-up,runner-up image,1886-2023 Winners & Runner-ups.Year
1886,"Zukertort, Hermann","Poland","https://www.worldometers.info//img/flags/small/tn_pl-flag.gif","Steinitz, William","Austria","https://www.worldometers.info//img/flags/small/tn_au-flag.gif",20,"World Chess Championship 1886","USA",20,"C25","Vienna Game, Anderssen Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21401&authkey=%21AEsiL9Huhai11eM&width=483&height=478"," Wilhelm Steinitz","https://image.lichess1.org/display?h=550&op=thumbnail&path=tictachess:ublog:L7xSfigU:9bZkuzUp.jpg&w=880&sig=1cfb8c2a780134ee3aff293203ac6e11b97e7149"," Johannes Zukertort","https://worldchesshof.org/sites/default/files/JohannesZuckertort400x400_6.jpg","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21401&authkey=%21AEsiL9Huhai11eM&width=483&height=478"," Wilhelm Steinitz","https://image.lichess1.org/display?h=550&op=thumbnail&path=tictachess:ublog:L7xSfigU:9bZkuzUp.jpg&w=880&sig=1cfb8c2a780134ee3aff293203ac6e11b97e7149"," Johannes Zukertort","https://worldchesshof.org/sites/default/files/JohannesZuckertort400x400_6.jpg",1886
1889,"Steinitz, William","Austria","https://www.worldometers.info//img/flags/small/tn_au-flag.gif","Chigorin, Mikhail","Russia","https://www.worldometers.info//img/flags/small/tn_rs-flag.gif",17,"World Chess Championship 1889","Havana",17,"C52","Italian Game, Evans Gambit, Anderssen Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21400&authkey=%21AG3-Ide4CDjFTSE&width=481&height=483"," Wilhelm Steinitz","https://image.lichess1.org/display?h=550&op=thumbnail&path=tictachess:ublog:L7xSfigU:9bZkuzUp.jpg&w=880&sig=1cfb8c2a780134ee3aff293203ac6e11b97e7149"," Mikhail Chigorin","https://images.chesscomfiles.com/uploads/v1/master_player/f41f46a6-bd84-11e8-9198-3950eb41dde1.2fbcd730.250x250o.fc8ad24414ef.jpeg","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21400&authkey=%21AG3-Ide4CDjFTSE&width=481&height=483"," Wilhelm Steinitz","https://image.lichess1.org/display?h=550&op=thumbnail&path=tictachess:ublog:L7xSfigU:9bZkuzUp.jpg&w=880&sig=1cfb8c2a780134ee3aff293203ac6e11b97e7149"," Mikhail Chigorin","https://images.chesscomfiles.com/uploads/v1/master_player/f41f46a6-bd84-11e8-9198-3950eb41dde1.2fbcd730.250x250o.fc8ad24414ef.jpeg",1889
1890,"Steinitz, William","Austria","https://www.worldometers.info//img/flags/small/tn_au-flag.gif","Gunsberg, Isidor","Hungary","https://www.worldometers.info//img/flags/small/tn_hu-flag.gif",19,"World Chess Championship 1890","New York",19,"C52","Italian Game, Evans Gambit, Anderssen Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21400&authkey=%21AG3-Ide4CDjFTSE&width=481&height=483"," Wilhelm Steinitz","https://image.lichess1.org/display?h=550&op=thumbnail&path=tictachess:ublog:L7xSfigU:9bZkuzUp.jpg&w=880&sig=1cfb8c2a780134ee3aff293203ac6e11b97e7149"," Isidor Gunsberg","https://images.chesscomfiles.com/uploads/v1/master_player/96f390f8-bd85-11e8-af50-737eeb0b453f.8eef83f3.250x250o.fc16dad00419.jpeg","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21400&authkey=%21AG3-Ide4CDjFTSE&width=481&height=483"," Wilhelm Steinitz","https://image.lichess1.org/display?h=550&op=thumbnail&path=tictachess:ublog:L7xSfigU:9bZkuzUp.jpg&w=880&sig=1cfb8c2a780134ee3aff293203ac6e11b97e7149"," Isidor Gunsberg","https://images.chesscomfiles.com/uploads/v1/master_player/96f390f8-bd85-11e8-af50-737eeb0b453f.8eef83f3.250x250o.fc16dad00419.jpeg",1890
1892,"Steinitz, William","Austria","https://www.worldometers.info//img/flags/small/tn_au-flag.gif","Chigorin, Mikhail","Russia","https://www.worldometers.info//img/flags/small/tn_rs-flag.gif",23,"World Chess Championship 1892","Havana",23,"C25","Vienna Game, Anderssen Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21401&authkey=%21AEsiL9Huhai11eM&width=483&height=478"," Mikhail Chigorin","https://images.chesscomfiles.com/uploads/v1/master_player/f41f46a6-bd84-11e8-9198-3950eb41dde1.2fbcd730.250x250o.fc8ad24414ef.jpeg"," Wilhelm Steinitz","https://image.lichess1.org/display?h=550&op=thumbnail&path=tictachess:ublog:L7xSfigU:9bZkuzUp.jpg&w=880&sig=1cfb8c2a780134ee3aff293203ac6e11b97e7149","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21401&authkey=%21AEsiL9Huhai11eM&width=483&height=478"," Mikhail Chigorin","https://images.chesscomfiles.com/uploads/v1/master_player/f41f46a6-bd84-11e8-9198-3950eb41dde1.2fbcd730.250x250o.fc8ad24414ef.jpeg"," Wilhelm Steinitz","https://image.lichess1.org/display?h=550&op=thumbnail&path=tictachess:ublog:L7xSfigU:9bZkuzUp.jpg&w=880&sig=1cfb8c2a780134ee3aff293203ac6e11b97e7149",1892
1894,"Steinitz, William","Austria","https://www.worldometers.info//img/flags/small/tn_au-flag.gif","Lasker, Emanuel","Germany","https://www.worldometers.info//img/flags/small/tn_gm-flag.gif",19,"World Chess Championship 1894","USA/CAN",19,"D40","Queen's Gambit Declined, Semi-Tarrasch Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21399&authkey=%21AFpKJQn3DGBjotk&width=483&height=482"," Emanuel Lasker","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg/220px-Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg"," Wilhelm Steinitz","https://image.lichess1.org/display?h=550&op=thumbnail&path=tictachess:ublog:L7xSfigU:9bZkuzUp.jpg&w=880&sig=1cfb8c2a780134ee3aff293203ac6e11b97e7149","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21399&authkey=%21AFpKJQn3DGBjotk&width=483&height=482"," Emanuel Lasker","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg/220px-Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg"," Wilhelm Steinitz","https://image.lichess1.org/display?h=550&op=thumbnail&path=tictachess:ublog:L7xSfigU:9bZkuzUp.jpg&w=880&sig=1cfb8c2a780134ee3aff293203ac6e11b97e7149",1894
1896,"Steinitz, William","Austria","https://www.worldometers.info//img/flags/small/tn_au-flag.gif","Lasker, Emanuel","Germany","https://www.worldometers.info//img/flags/small/tn_gm-flag.gif",17,"World Chess Championship 1896","Moscow",17,"D53","Queen's Gambit Declined, Lasker Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21398&authkey=%21AGwScmL7-SPAYGM&width=482&height=480"," Emanuel Lasker","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg/220px-Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg"," Wilhelm Steinitz","https://image.lichess1.org/display?h=550&op=thumbnail&path=tictachess:ublog:L7xSfigU:9bZkuzUp.jpg&w=880&sig=1cfb8c2a780134ee3aff293203ac6e11b97e7149","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21398&authkey=%21AGwScmL7-SPAYGM&width=482&height=480"," Emanuel Lasker","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg/220px-Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg"," Wilhelm Steinitz","https://image.lichess1.org/display?h=550&op=thumbnail&path=tictachess:ublog:L7xSfigU:9bZkuzUp.jpg&w=880&sig=1cfb8c2a780134ee3aff293203ac6e11b97e7149",1896
1907,"Marshall, Frank James","United States","https://www.worldometers.info//img/flags/small/tn_us-flag.gif","Lasker, Emanuel","Germany","https://www.worldometers.info//img/flags/small/tn_gm-flag.gif",15,"World Chess Championship 1907","USA",15,"D53","Queen's Gambit Declined, Lasker Defense","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21398&authkey=%21AGwScmL7-SPAYGM&width=482&height=480"," Emanuel Lasker","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg/220px-Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg"," Frank Marshall","https://worldchesshof.org/sites/default/files/FrankMArshall400x400_6.jpg","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21398&authkey=%21AGwScmL7-SPAYGM&width=482&height=480"," Emanuel Lasker","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg/220px-Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg"," Frank Marshall","https://worldchesshof.org/sites/default/files/FrankMArshall400x400_6.jpg",1907
1908,"Tarrasch, Siegbert","Germany","https://www.worldometers.info//img/flags/small/tn_gm-flag.gif","Lasker, Emanuel","Germany","https://www.worldometers.info//img/flags/small/tn_gm-flag.gif",16,"World Chess Championship 1908","Germany",16,"D02","London System, Poisoned Pawn Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21397&authkey=%21AL_By1sZjLAp05E&width=484&height=481"," Emanuel Lasker","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg/220px-Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg"," Siegbert Tarrasch","https://en.chessbase.com/thumb/101821","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21397&authkey=%21AL_By1sZjLAp05E&width=484&height=481"," Emanuel Lasker","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg/220px-Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg"," Siegbert Tarrasch","https://en.chessbase.com/thumb/101821",1908
1909,"Lasker, Emanuel","Germany","https://www.worldometers.info//img/flags/small/tn_gm-flag.gif","Janowsky, Markelowicz","Poland","https://www.worldometers.info//img/flags/small/tn_pl-flag.gif",10,"World Chess Championship 1909","Paris",10,"B34","Sicilian Defense, Accelerated Dragon, Exchange Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21396&authkey=%21AGE5GaR4MZ6enmg&width=475&height=480"," Emanuel Lasker","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg/220px-Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg"," David Janowski","https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/DavidJanowski.jpg/220px-DavidJanowski.jpg","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21396&authkey=%21AGE5GaR4MZ6enmg&width=475&height=480"," Emanuel Lasker","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg/220px-Bundesarchiv_Bild_102-00457%2C_Emanuel_Lasker.jpg"," David Janowski","https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/DavidJanowski.jpg/220px-DavidJanowski.jpg",1909
1910,"Schlechter, Carl","Austria","https://www.worldometers.info//img/flags/small/tn_au-flag.gif","Janowsky, Markelowicz","Poland","https://www.worldometers.info//img/flags/small/tn_pl-flag.gif",11,"World Chess Championship 1910","GER/AUT",11,"C30","King's Gambit, Accepted, Eisenberg Variation","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21395&authkey=%21ADOwqXRemaywmCc&width=481&height=477"," Carl Schlechter","https://upload.wikimedia.org/wikipedia/commons/1/17/Carl_Schlechter_%28profile%29.png"," David Janowski","https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/DavidJanowski.jpg/220px-DavidJanowski.jpg","https://onedrive.live.com/embed?resid=DE417ACC776FB9C5%21395&authkey=%21ADOwqXRemaywmCc&width=481&height=477"," Carl Schlechter","https://upload.wikimedia.org/wikipedia/commons/1/17/Carl_Schlechter_%28profile%29.png"," David Janowski","https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/DavidJanowski.jpg/220px-DavidJanowski.jpg",1910
