Short name,Country
"Nepomniachtchi,I","Russia"
"Karjakin, Sergey","Russia"
"Kramnik,V","Russia"
"Svidler,P","Russia"
"Grischuk,A","Russia"
"Morozevich,A","Russia"
"Dreev,A","Russia"
"Neverov,V","Russia"
"Motylev,A","Russia"
"Filippov,Va","Russia"
"Dolmatov,S","Russia"
"Karjakin,Sergey","Russia"
"Alekseev,Evgeny","Russia"
"Smirnov,P","Russia"
"Malakhov,V","Russia"
"Rublevsky,S","Russia"
"Sakaev,K","Russia"
"Zvjaginsev,V","Russia"
"Moiseenko,A","Russia"
"Kotsur,P","Russia"
"Lastin,A","Russia"
"Vladimirov,E","Russia"
"Kharlov,A","Russia"
"Inarkiev,E","Russia"
"Galkin,A","Russia"
"Tkachiev,V","Russia"
"Karlov,A","Russia"
"Aseev,K","Russia"
"Shipov,S","Russia"
"Khalifman,A","Russia"
"Korchnoi,V","Russia"
"Volkov,S","Russia"
"Karpov,An","Russia"
"Prudnikova,S","Russia"
"Kiseleva,N","Russia"
"Bareev,E","Russia"
"Pigusov,E","Russia"
"Gulko,B","Russia"
"Safin,S","Russia"
"Vlassov,N","Russia"
"Shovunov,B","Russia"
"Kasparov,G","Russia"
"Tregubov,P","Russia"
"Bezgodov,A","Russia"
"Rustemov,A","Russia"
"De Firmian, Nick E","Russia"
"Khalifman, Alexander","Russia"
"Kotsur, Pavel","Russia"
"Akopian, Vladimir","Russia"
"Zubarev, Alexander","Russia"
"Dreev, Alexey","Russia"
"Gulko, Boris F","Russia"
"Dolmatov, Sergey","Russia"
"Kramnik, Vladimir","Russia"
"Rublevsky, Sergei","Russia"
"Shipov, Sergei","Russia"
"Svidler, Peter","Russia"
"Zvjaginsev, Vadim","Russia"
"Bareev, Evgeny","Russia"
"Sakaev, Konstantin","Russia"
"Salov, Valery","Russia"
"Kamsky, Gata","Russia"
"Nenashev, Alexander","Russia"
"Morozevich, Alexander","Russia"
"Giorgadze, Giorgi","Russia"
"Fominyh, Alexander","Russia"
"Glek, Igor V","Russia"
"Smyslov, Vassily","Russia"
"Sutovskij, Emil","Russia"
"Umgaev, Alexander","Russia"
"Epishin, Vladimir","Russia"
"Lerner, Konstantin Z","Russia"
"Karpov, Anatoly","Russia"
"Kasparov, Gary","Russia"
"Spassky, Boris V","Russia"
"Botvinnik, Mikhail","Russia"
"Alekhine, Alexander","Russia"
"Bogoljubow, Efim","Russia"
"Chigorin, Mikhail","Russia"
"Carlsen,M","Norway"
"Carlsen, Magnus","Norway"
"Caruana, Fabiano","United"
"Anand, Viswanathan","India"
"Gelfand,B","Israel"
"Anand,V","India"
"Gelfand, Boris","Israel"
"Topalov,V","Bulgaria"
"Aronian,L","Armenia"
"Leko,P","Hungary"
"Adams,Mi","England"
"Kasimdzhanov,R","Uzbekistan"
"Polgar,Ju","Hungary"
"Abulhul,T","Saudi"
"Asabri,Hu","Hungary"
"Arab,A","United"
"Short,N","England"
"Haznedaroglu,K","Turkey"
"Nisipeanu,LD","Romania"
"Simutowe,A","Zambia"
"Gonzalez Garcia,J","Spain"
"Ye Jiangchuan","China"
"Azmaiparashvili,Z","Georgia"
"Charbonneau,P","Canada"
"Gurevich,M","United"
"Adly,A","Egypt"
"Radjabov,T","Azerbaijan"
"El Gindy,E","Egypt"
"Beliavsky,A","Belarus"
"Vasquez,R","Paraguay"
"Bologan,V","Moldova"
"Mastrovasilis,D","Greece"
"Sasikiran,K","India"
"Graf,A","Germany"
"Lima,Da","Brazil"
"Ivanov,AV USA","United"
"Guseinov,G","Azerbaijan"
"Nikolic,Pr","Bosnia"
"Landa,K","Israel"
"Ghaem Maghami,E","Iran"
"Georgiev,Ki","Bulgaria"
"Lputian,S","Armenia"
"Leitao,R","Brazil"
"Macieja,B","Poland"
"Almasi,Z","Hungary"
"Volkov,S1","Kazakhstan"
"Ganguly,S","India"
"Iordachescu,V","Moldova"
"Dao Thien Hai","Vietnam"
"Sadvakasov,D","Kazakhstan"
"Kempinski,R","Germany"
"Bu Xiangzhi","China"
"Ni Hua","China"
"Felgaer,R","Argentina"
"Dautov,R","Germany"
"Tiviakov,S","Netherlands"
"Dominguez,L","Cuba"
"Milos,G","Brazil"
"Xu Jun","China"
"Kacheishvili,G","Georgia"
"Asrian,K","Armenia"
"Delchev,A","Bulgaria"
"Solomon,K","Solomon"
"Ivanchuk,V","Ukraine"
"Kadhi,H","Algeria"
"Dableo,R","Philippines"
"Sokolov,I","Netherlands"
"Tissir,M","Morocco"
"Akopian,Vl","Armenia"
"Garcia Palermo,C","Cuba"
"Mahjoob,M","Iran"
"Bacrot,E","France"
"Johansen,D","Australia"
"Bartel,Mat","Poland"
"Aleksandrov,A","Belarus"
"Barsov,A","Uzbekistan"
