game_order,event,site,Year,round,white,black,result,white_elo,black_elo,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,Index,White Player's Full Name,White Player's Country,Black player's Nationality.Country,Black player's Nationality.Short name
3,"World Championship 20th","Moscow",1954,3,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"C17",2512,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
5,"World Championship 20th","Moscow",1954,5,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"D44",2514,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
6,"World Championship 20th","Moscow",1954,6,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"D86",2515,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
8,"World Championship 20th","Moscow",1954,8,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"D06",2517,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
17,"World Championship 20th","Moscow",1954,17,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"A04",2526,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
18,"World Championship 20th","Moscow",1954,18,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"E61",2527,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
19,"World Championship 20th","Moscow",1954,19,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"C15",2528,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
21,"World Championship 20th","Moscow",1954,21,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"C15",2530,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
22,"World Championship 20th","Moscow",1954,22,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"D83",2531,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
24,"World Championship 20th","Moscow",1954,24,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"E69",2533,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
2,"World Championship 21th","Moscow",1957,2,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"B66",2489,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
3,"World Championship 21th","Moscow",1957,3,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"E66",2490,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
7,"World Championship 21th","Moscow",1957,7,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"E45",2494,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
9,"World Championship 21th","Moscow",1957,9,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"E62",2496,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
10,"World Championship 21th","Moscow",1957,10,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"C98",2497,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
11,"World Championship 21th","Moscow",1957,11,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"D79",2498,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
14,"World Championship 21th","Moscow",1957,14,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"C18",2501,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
15,"World Championship 21th","Moscow",1957,15,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"E45",2502,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
16,"World Championship 21th","Moscow",1957,16,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"C98",2503,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
18,"World Championship 21th","Moscow",1957,18,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"C15",2505,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
19,"World Championship 21th","Moscow",1957,19,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"A36",2506,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
21,"World Championship 21th","Moscow",1957,21,"Botvinnik, Mikhail","Smyslov, Vassily","1/2-1/2",,,"","","draw",,"draw",,0,"D79",2508,"Botvinnik, Mikhail","Russia","Russia","Smyslov, Vassily"
22,"World Championship 21th","Moscow",1957,22,"Smyslov, Vassily","Botvinnik, Mikhail","1/2-1/2",,,"","","draw",,"draw",,0,"C11",2509,"Smyslov, Vassily","Russia","Russia","Botvinnik, Mikhail"
