Short Name,Full Name,Country
"Nepomniachtchi,I","Nepomniachtchi, Ian","Russia"
"Karjakin, Sergey","Karjakin, Sergey","Russia"
"Kramnik,V","Kramnik, Vladimir","Russia"
"Morozevich,A","Morozevich, Alexander","Russia"
"Grischuk,A","Grischuk, Alexander","Russia"
"Svidler,P","Svidler, Peter","Russia"
"Malakhov,V","Malakhov, Vladimir","Russia"
"Rublevsky,S","Rublevsky, Sergei","Russia"
"Sakaev,K","Sakaev, Konstantin","Russia"
"Zvjaginsev,V","Zvjaginsev, Vadim","Russia"
"Kobalia,M","Kobalia, Mikhail","Russia"
"Lastin,A","Lastin, Alexander","Russia"
"Kharlov,A","Kharlov, Andrei","Russia"
"Inarkiev,E","Inarkiev, Ernesto","Russia"
"Galkin,A","Galkin, Alexander","Russia"
"Dreev,A","Dreev, Alexey","Russia"
"Motylev,A","Motylev, Alexander","Russia"
"Landa,K","Landa, Konstantin","Russia"
"Dolmatov,S","Dolmatov, Sergey","Russia"
"Karjakin,Sergey","Karjakin, Sergey","Russia"
"Volkov,S1","Volkov, Sergey","Russia"
"Alekseev,Evgeny","Alekseev, Evgeny","Russia"
"Tiviakov,S","Tiviakov, Sergei","Russia"
"Smirnov,P","Smirnov, Pavel","Russia"
"Bareev,E","Bareev, Evgeny","Russia"
"Kobalija,M","Kobalija, Mihail","Russia"
"Volkov,S","Volkov, Sergey","Russia"
"Pigusov,E","Pigusov, Evgenij","Russia"
"Karpov,An","Karpov, Anatoly","Russia"
"Khalifman,A","Khalifman, Alexander","Russia"
"Kiseleva,N","Kiseleva, Nadezhda","Russia"
"Stepovaia Dianchenko,T","Stepovaia-Dianchenko, Tatiana","Russia"
"Prudnikova,S","Prudnikova, Svetlana","Russia"
"Shovunov,B","Shovunov, Boris","Russia"
"Vlassov,N","Vlassov, Nikolai","Russia"
"Aseev,K","Aseev, Konstantin","Russia"
"Shipov,S","Shipov, Sergei","Russia"
"Kasparov,G","Kasparov, Garry","Russia"
"Bezgodov,A","Bezgodov, Alexei","Russia"
"Rustemov,A","Rustemov, Alexander","Russia"
"Rytshagov,M","Rytshagov, Mikhail","Russia"
"Tregubov,P","Tregubov, Pavel","Russia"
"Kobalija, Mihail","Kobalija, Mihail","Russia"
"Dolmatov, Sergey","Dolmatov, Sergey","Russia"
"Dreev, Alexey","Dreev, Alexey","Russia"
"Khalifman, Alexander","Khalifman, Alexander","Russia"
"Tiviakov, Sergei","Tiviakov, Sergei","Russia"
"Bareev, Evgeny","Bareev, Evgeny","Russia"
"Sakaev, Konstantin","Sakaev, Konstantin","Russia"
"Salov, Valery","Salov, Valery","Russia"
"Shipov, Sergei","Shipov, Sergei","Russia"
"Svidler, Peter","Svidler, Peter","Russia"
"Rublevsky, Sergei","Rublevsky, Sergei","Russia"
"Kramnik, Vladimir","Kramnik, Vladimir","Russia"
"Zvjaginsev, Vadim","Zvjaginsev, Vadim","Russia"
"Fominyh, Alexander","Fominyh, Alexander","Russia"
"Smyslov, Vassily","Smyslov, Vassily","Russia"
"Umgaev, Alexander","Umgaev, Alexander","Russia"
"Nenashev, Alexander","Nenashev, Alexander","Russia"
