eco,eco_name,eco_example,eco_type,eco_group,openings.name,openings.link,openings.color,openings.total_games,openings.eco,openings.last_played,Performance,openings.avg_player,Wins,Draws,Loses,openings.moves
"A00","Uncommon Opening","1 g4, a3, h3, etc.","A","Flank","Amar Opening, Gent Gambit","https://old.chesstempo.com/gamedb/opening/46","white",3,"A00","2012",2642,"2260",1,0.897,0.334,"1.Ch3 d5 2.g3 e5 3.f4 Axh3 4.Axh3 exf4 5.O-O fxg3 6.hxg3"
"A02","Bird's Opening","1 f4","A","Flank","Bird Opening, Batavo-Polish Attack","https://old.chesstempo.com/gamedb/opening/124","white",28,"A02","17-10-2019",2224,"2250",0.214,0.5,0.286,"1.f4 Cf6 2.Cf3 g6 3.b4"
"A03","Bird's Opening","1 f4 d5","A","Flank","Bird Opening, Dutch Variation","https://old.chesstempo.com/gamedb/opening/125","black",8997,"A03","24-03-2021",2114,"2111",0.395,0.259,0.346,"1.f4 d5"
"A10","English","1 c4","A","Flank","English Opening, Achilles-Omega Gambit","https://old.chesstempo.com/gamedb/opening/2887","white",4,"A10","27-04-2019",1902,"2059",0.5,0.25,0.25,"1.c4 Cf6 2.e4"
"A11","English, Caro-Kann Defensive System","1 c4 c6","A","Flank","English Opening, Anglo-Indian Defense, Romanishin Variation","https://old.chesstempo.com/gamedb/opening/451","black",349,"A11","15-01-2021",2418,"2434",0.286,0.393,0.321,"1.c4 Cf6 2.Cf3 e6 3.g3 a6"
"A13","English","1 c4 e6","A","Flank","English Opening, Agincourt Defense","https://old.chesstempo.com/gamedb/opening/422","black",8645,"A13","29-03-2021",2189,"2206",0.33,0.302,0.368,"1.c4 e6"
"A14","English","1 c4 e6 2 Nf3 d5 3 g3 Nf6 4 Bg2 Be7 5 O-O","A","Flank","English Opening, Agincourt Defense, Catalan Defense","https://old.chesstempo.com/gamedb/opening/2782","white",18,"A14","11-05-2019",2265,"2164",0.556,0.333,0.111,"1.c4 e6 2.Cf3 d5 3.g3 b6 4.Ag2 Ab7 5.O-O"
"A15","English","1 c4 Nf6","A","Flank","English Opening, Anglo-Indian Defense, Gruenfeld Formation","https://old.chesstempo.com/gamedb/opening/2776","black",105,"A15","13-12-2020",2103,"2153",0.276,0.286,0.438,"1.c4 Cf6 2.Cf3 g6 3.g3 d5"
"A16","English","1 c4 Nf6 2 Nc3","A","Flank","English Opening, Anglo-Indian Defense, Anglo-GrÃ¼nfeld Variation","https://old.chesstempo.com/gamedb/opening/437","white",968,"A16","13-03-2021",2322,"2279",0.479,0.312,0.209,"1.c4 Cf6 2.Cc3 d5 3.cxd5 Cxd5 4.Cf3"
"A17","English","1 c4 Nf6 2 Nc3 e6","A","Flank","English Opening, Anglo-Indian Defense, Anti-Anti-GrÃ¼nfeld","https://old.chesstempo.com/gamedb/opening/438","white",783,"A17","12-03-2021",2396,"2360",0.397,0.353,0.25,"1.c4 Cf6 2.Cc3 g6 3.Cf3 Ag7 4.e4"
